CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS
C12209,12.281874,0.1,153.11,153.11,0,0,0.2,0.2,0,0,0,2,9000,0
C12210,6460.838794,1,6814.47,6814.47,0,0,1,1,0,0,0,15,13000,1917.817732
C12211,139.449391,0.727273,843.03,0,843.03,0,0.583333,0,0.583333,0,0,7,2200,1312.375596
C12212,1777.440238,1,78.47,0,78.47,332.13781,0.5,0,0.416667,0.083333,2,7,8500,3799.466293
C12213,805.520824,1,4019.28,4019.28,0,0,0.833333,0.833333,0,0,0,19,4500,3728.70891
C12214,713.959917,1,542.96,452.96,90,268.410928,0.833333,0.416667,0.416667,0.166667,4,13,2500,195.490243
C12215,1784.421367,0.818182,0,0,0,3923.427657,0,0,0,0.25,4,0,3000,2804.403394
C12216,1441.679257,1,0,0,0,914.794214,0,0,0,0.083333,1,0,6500,568.212802
C12217,226.03038,1,435.08,435.08,0,0,0.916667,0.916667,0,0,0,15,7500,3796.014359
C12218,13.036611,0.818182,197,0,197,0,0.5,0,0.416667,0,0,6,1000,224.836018
C12219,4223.867789,1,2514.74,1597.67,917.07,3444.750251,1,1,0.833333,0.333333,11,53,5500,964.935365
C12220,5067.576984,1,714.68,402.68,312,726.955255,1,0.083333,1,0.083333,2,14,5000,1649.118645
C12221,62.788771,1,802.1,802.1,0,0,0.916667,0.916667,0,0,0,21,13000,710.240283
C12222,3188.47034,1,0,0,0,1673.75234,0,0,0,0.083333,1,0,4500,715.12033
C12223,2737.420448,1,0,0,0,257.147835,0,0,0,0.25,6,0,3000,944.591497
C12224,1502.926021,1,2635.9,2116.92,518.98,0,1,0.75,0.75,0,0,54,4500,951.372467
C12225,951.061932,1,1699.87,1262.04,437.83,0,1,0.666667,0.75,0,0,31,1800,2096.121508
C12226,10905.05381,1,431.93,133.5,298.43,47137.21176,0.583333,0.25,0.5,1,123,21,19600,39048.59762
C12227,68.20838,0.272727,780,780,0,0,0.166667,0.166667,0,0,0,2,3200,196.173726
C12228,1297.153644,1,839.14,419.88,419.26,0,0.833333,0.333333,0.666667,0,0,16,6000,362.337779
C12229,121.024256,1,1850.23,0,1850.23,0,1,0,0.916667,0,0,18,14000,1826.882329
C12230,1003.704494,0.818182,50,50,0,457.650652,0.083333,0.083333,0,0.25,5,1,3500,3389.03546
C12231,1094.300448,1,1967.86,558.69,1409.17,0,1,0.5,1,0,0,140,11500,1413.122627
C12232,1467.162166,1,1313.26,0,1313.26,0,1,0,1,0,0,28,11500,1129.248446
C12233,1649.276603,1,0,0,0,253.554601,0,0,0,0.583333,8,0,1800,574.233323
C12234,2660.420641,1,0,0,0,382.272435,0,0,0,0.166667,2,0,5000,846.397004
C12235,44.204396,0.636364,504,0,504,0,1,0,0.916667,0,0,20,2500,818.64282
C12236,379.767959,1,493.5,493.5,0,0,0.25,0.25,0,0,0,3,4000,3308.04995
C12237,7.066111,0.181818,133.16,0,133.16,0,0.166667,0,0.083333,0,0,2,16000,0
C12238,1051.215365,0.909091,0,0,0,3700.154118,0,0,0,0.454545,25,0,1600,3263.474102
C12239,447.941813,1,1907.2,0,1907.2,0,0.833333,0,0.833333,0,0,10,9500,2111.91778
C12240,1089.528456,1,0,0,0,76.027194,0,0,0,0.083333,1,0,1200,371.902953
C12241,1432.326731,0.625,0,0,0,3771.115165,0,0,0,0.625,15,0,5000,138.855523
C12242,97.000375,1,552.09,95,457.09,0,1,0.083333,0.833333,0,0,13,12000,601.430928
C12243,5.016768,0.909091,284.13,0,284.13,0,0.916667,0,0.916667,0,0,11,4000,274.729879
C12244,238.962984,1,2402.64,537.21,1865.43,0,1,1,1,0,0,48,8500,2022.102581
C12246,0,0,174.12,0,174.12,0,1,0,1,0,0,12,4000,0
C12247,4550.397004,1,548,548,0,660.523355,0.25,0.25,0,0.25,5,7,5000,1158.922139
C12248,2005.414367,1,0,0,0,510.618121,0,0,0,0.25,3,0,2100,746.145517
C12249,2494.774127,1,250,250,0,2804.350229,0.083333,0.083333,0,0.333333,7,1,3000,864.527484
C12250,4623.886448,1,883.94,741.44,142.5,0,1,1,0.25,0,0,15,6000,2790.54214
C12251,1945.906455,1,1650.52,0,1650.52,1025.434108,1,0,1,0.083333,2,21,2500,1916.054676
C12252,2598.802288,1,0,0,0,185.909531,0,0,0,0.083333,1,0,3000,773.831303
C12253,3086.75297,1,1015.91,293.41,722.5,0,0.916667,0.333333,0.833333,0,0,23,10500,938.131271
C12254,46.461265,0.545455,237.99,237.99,0,0,0.166667,0.166667,0,0,0,2,4500,543.788113
C12255,390.55064,1,1261.99,1141.99,120,0,0.5,0.416667,0.416667,0,0,16,3000,18.496532
C12256,250.060059,1,2405.97,2182.22,223.75,0,1,0.916667,0.416667,0,0,36,10000,2105.342196
C12257,5570.18253,1,0,0,0,2744.808962,0,0,0,0.166667,3,0,6000,1748.960475
C12258,2113.287399,1,0,0,0,3130.155158,0,0,0,0.333333,5,0,3500,1927.253932
C12260,1205.191816,1,0,0,0,1259.175202,0,0,0,0.5,7,0,2500,281.884143
C12261,2586.357487,1,0,0,0,256.100571,0,0,0,0.083333,1,0,3000,658.61387
C12262,1543.194492,1,160,160,0,2956.595415,0.083333,0.083333,0,0.25,4,1,3000,692.776517
C12263,3677.471434,1,1,1,0,859.297788,0.083333,0.083333,0,0.083333,2,1,7000,944.992262
C12264,203.024867,0.818182,542.94,0,542.94,0,0.416667,0,0.416667,0,0,8,4000,955.283993
C12265,5926.837633,0.818182,0,0,0,9596.316702,0,0,0,0.181818,6,0,13000,1599.792795
C12266,1479.020821,1,958.73,0,958.73,0,0.916667,0,0.833333,0,0,30,1500,1187.648889
C12267,532.805392,1,59.4,59.4,0,2734.176725,0.083333,0.083333,0,0.5,11,1,10000,1502.934235
C12268,36.023577,0.181818,273.8,273.8,0,0,0.083333,0.083333,0,0,0,1,5500,174.52575
C12269,3084.618021,1,0,0,0,2506.67355,0,0,0,0.5,10,0,4000,1003.664133
C12270,52.575297,0.727273,282.62,33.62,249,0,0.416667,0.083333,0.25,0,0,5,6000,388.872739
C12271,1166.500558,1,73.8,0,73.8,595.036388,0.333333,0,0.333333,0.416667,6,4,2000,514.586639
C12272,1781.739723,1,2289.92,1584.4,705.52,0,0.75,0.583333,0.416667,0,0,37,10500,2065.553347
C12273,2882.954391,1,3591.81,2452.56,1139.25,554.07167,1,0.818182,0.818182,0.090909,2,74,10450,8438.775135
C12274,4068.162699,1,3387.47,1938.13,1449.34,0,1,1,1,0,0,86,8500,1312.481879
C12275,5432.113514,1,793.1,793.1,0,6245.023709,0.583333,0.583333,0,0.5,15,13,10000,1261.909483
C12276,24.463674,0.818182,254.37,0,254.37,0,0.75,0,0.666667,0,0,10,4000,206.073166
C12277,202.996947,1,2338.83,2338.83,0,1959.553078,0.916667,0.916667,0,0.166667,2,42,7500,6545.07776
C12278,28.924276,1,324.6,0,324.6,0,1,0,1,0,0,12,3000,320.218246
C12279,7764.210895,1,90,90,0,4032.071583,0.083333,0.083333,0,0.583333,13,1,11150,1566.916181
C12280,1219.914858,1,0,0,0,442.372527,0,0,0,0.166667,2,0,1500,540.400104
C12281,9226.107838,1,2217.94,990.46,1227.48,3533.146705,1,0.166667,1,0.25,5,16,10500,3075.113742
C12282,689.697644,1,22.68,0,22.68,0,0.083333,0,0.083333,0,0,1,11500,906.092735
C12283,4158.137668,1,8.4,8.4,0,0,1,1,0,0,0,12,7500,1001.17541
C12284,5995.793488,1,0,0,0,3454.101774,0,0,0,0.416667,12,0,6500,1868.475426
C12285,131.260514,0.5,1109.91,1109.91,0,0,0.5,0.5,0,0,0,21,9500,2137.485075
C12286,288.978275,0.909091,2555.91,694.89,1861.02,0,1,0.363636,0.727273,0,0,20,5000,12020.18009
C12287,331.686553,1,2289.42,1227.08,1062.34,0,1,1,0.666667,0,0,37,9500,2184.371316
C12288,1504.334228,0.909091,565,565,0,0,0.25,0.25,0,0,0,3,2200,2511.315474
C12289,1928.971964,1,2061.55,369.55,1692,0,1,1,1,0,0,30,8500,2200.93868
C12291,391.385478,1,0,0,0,0,0.333333,0,0.333333,0,0,0,4000,192.787345
C12292,684.658511,1,184.68,0,184.68,0,1,0,1,0,0,12,2900,2837.204108
C12293,5.120644,0.2,55.55,0,55.55,0,0.1,0,0.1,0,0,1,6000,0
C12294,1685.020731,1,0,0,0,243.61411,0,0,0,0.083333,1,0,1800,559.556519
C12295,313.87913,1,2746.84,2170,576.84,0,1,0.916667,0.916667,0,0,59,2500,2562.579256
C12296,619.974954,1,1219.39,464.39,755,4473.3497,0.666667,0.166667,0.416667,0.25,8,8,2000,4115.217914
C12297,1380.728565,1,0,0,0,126.637116,0,0,0,0.166667,3,0,1500,279.782836
C12298,40.343354,0.5,318.79,318.79,0,0,0.2,0.2,0,0,0,2,6000,603.896667
C12299,147.838347,1,0,0,0,68.919596,0,0,0,0.083333,1,0,600,50.406698
C12300,69.141919,1,872.94,137.3,735.64,0,0.916667,0.333333,0.916667,0,0,24,10000,721.050386
C12301,0.672519,0.090909,388.54,0,388.54,0,0.416667,0,0.416667,0,0,5,12000,377.974097
C12302,4677.021295,1,1798.66,1364.22,434.44,1569.577102,0.916667,0.583333,0.916667,0.416667,6,36,9000,1156.783897
C12303,33.31938,0.818182,279.56,0,279.56,0,0.666667,0,0.583333,0,0,8,3000,347.911693
C12304,1748.310383,1,0,0,0,157.152652,0,0,0,0.083333,1,0,2000,538.443435
C12305,931.674532,1,2417.91,2303.91,114,3508.775536,0.583333,0.5,0.166667,0.166667,9,21,8000,3468.393326
C12306,1475.871356,1,826.77,664.21,162.56,0,1,1,0.333333,0,0,18,1500,1182.627097
C12307,992.424289,1,0,0,0,45.026228,0,0,0,0.111111,1,0,1000,161.400987
C12308,105.642966,0.818182,916.46,527.78,388.68,0,0.583333,0.416667,0.333333,0,0,12,10500,2243.559789
C12309,1156.813935,1,251.38,101.28,150.1,506.605228,0.909091,0.181818,0.909091,0.181818,3,12,7500,2853.276447
C12310,3797.995726,1,0,0,0,17278.53864,0,0,0,0.833333,56,0,12000,15884.69746
C12311,107.452196,1,1196.35,945.79,250.56,0,1,1,0.5,0,0,37,5500,1597.772035
C12312,4181.216991,1,1443.33,1443.33,0,0,0.083333,0.083333,0,0,0,1,6000,1027.149996
C12313,162.94835,0.545455,400,400,0,0,0.083333,0.083333,0,0,0,1,4000,137.20573
C12314,2382.328208,1,899.58,413.28,486.3,450.252732,1,0.25,1,0.166667,4,34,2500,850.186851
C12315,55.707056,1,1224.99,0,1224.99,0,1,0,1,0,0,26,7500,1130.359054
C12316,902.491328,1,0,0,0,3936.354616,0,0,0,0.272727,5,0,1800,3633.579097
C12317,1599.306976,1,112.57,112.57,0,70.564078,0.25,0.25,0,0.083333,1,3,1800,595.55337
C12318,970.322769,1,0,0,0,2034.69483,0,0,0,0.333333,14,0,2000,1373.649725
C12319,5815.890916,1,1245.33,1245.33,0,2697.454999,0.5,0.5,0,0.583333,10,18,7000,1287.745322
C12320,1738.377115,1,140.2,140.2,0,0,1,1,0,0,0,12,6500,432.72779
C12321,21.311946,0.727273,3618.19,2804.79,813.4,0,1,1,0.5,0,0,40,15000,3570.597218
C12322,462.916347,1,270.97,107.15,163.82,0,0.333333,0.333333,0.25,0,0,7,10000,1293.523382
C12323,1281.276331,1,792.14,703.58,88.56,0,0.916667,0.5,0.75,0,0,18,1500,397.388693
C12324,632.807858,1,453.91,318.91,135,927.939586,0.583333,0.333333,0.25,0.5,8,8,6000,350.387978
C12325,2463.60548,1,654,300,354,0,1,0.166667,1,0,0,17,2400,1149.733036
C12326,1236.635476,1,540,540,0,0,0.818182,0.818182,0,0,0,9,4000,2136.389192
C12327,1563.48528,1,1910.13,1852.06,58.07,0,1,0.916667,0.166667,0,0,35,13000,5142.624134
C12329,6877.284986,1,687.97,542.97,145,3406.90934,0.416667,0.083333,0.25,0.666667,12,11,7500,2358.946309
C12330,598.423093,1,5835.57,3974.7,1860.87,0,1,0.833333,0.75,0,0,53,9000,6083.426724
C12331,955.415962,1,1060,1060,0,0,0.111111,0.111111,0,0,0,1,2100,189.106448
C12332,847.191896,1,11507.4,5904.78,5602.62,0,1,1,1,0,0,148,10500,10414.467
C12333,44.174721,1,290,0,290,0,0.75,0,0.583333,0,0,9,6000,326.635918
C12334,7820.331303,1,80,80,0,1147.891529,0.083333,0.083333,0,0.25,3,1,15000,1963.299182
C12335,937.276757,1,45.65,45.65,0,19.995297,0.083333,0.083333,0,0.083333,1,1,1000,335.809644
C12336,776.255666,1,6842.23,4938.13,1904.1,0,1,1,1,0,0,112,3500,5588.683151
C12337,815.832195,0.5,211.22,83,128.22,3214.78962,0.6,0.1,0.5,0.2,23,6,3500,1664.863771
C12338,4939.64603,1,470.54,139.38,331.16,8753.243163,0.75,0.333333,0.583333,0.916667,39,14,10000,11721.86573
C12339,1053.59473,1,1450,1450,0,0,0.125,0.125,0,0,0,1,1500,397.090516
C12340,1877.424948,1,170.07,118.2,51.87,0,0.166667,0.166667,0.166667,0,0,2,6000,248.81801
C12341,8.928211,0.727273,105.78,105.78,0,0,0.416667,0.416667,0,0,0,6,3500,199.171196
C12342,2139.919711,1,330.89,71.4,259.49,2649.967098,0.5,0.083333,0.416667,0.416667,18,7,6000,703.005516
C12343,137.909416,1,897.42,684.12,213.3,0,0.916667,0.916667,0.583333,0,0,27,7000,965.182597
C12344,1301.549278,1,0,0,0,72.681585,0,0,0,0.083333,1,0,1500,317.211622
C12345,287.140554,0.636364,316.78,0,316.78,0,0.75,0,0.75,0,0,15,4500,1308.806298
C12346,26.621291,0.363636,426.83,426.83,0,0,0.416667,0.416667,0,0,0,5,6000,195.490843
C12347,6887.915143,1,4340.42,3608.17,732.25,7028.901031,1,1,0.916667,0.833333,29,59,11500,16616.23528
C12348,740.382347,1,1672.35,1571.35,101,310.806852,0.666667,0.5,0.416667,0.25,3,15,5500,1437.155317
C12349,2719.526277,1,448.07,448.07,0,3474.764847,0.25,0.25,0,0.333333,4,7,3000,3537.693441
C12350,9.75539,0.909091,219.37,219.37,0,0,1,1,0,0,0,12,6000,216.850592
C12351,1689.319684,1,724.83,0,724.83,0,0.583333,0,0.583333,0,0,7,1500,1462.037592
C12352,62.053779,0.636364,29.6,29.6,0,838.60032,0.083333,0.083333,0,0.083333,2,1,6000,1576.039085
C12353,1417.474456,1,144.49,144.49,0,0,0.416667,0.416667,0,0,0,6,1500,348.50421
C12354,1613.321542,1,252,252,0,0,0.166667,0.166667,0,0,0,3,1800,833.515706
C12355,392.194003,1,788.14,788.14,0,0,0.166667,0.166667,0,0,0,2,9000,1041.707049
C12356,936.041324,1,1141.24,999.08,142.16,0,0.666667,0.166667,0.583333,0,0,12,1200,1225.983876
C12357,527.761784,1,2702.57,1942.77,759.8,0,1,0.5,0.75,0,0,32,3000,1942.140315
C12358,1283.402142,1,1286.34,0,1286.34,0,1,0,1,0,0,35,2100,1470.711716
C12359,5355.922523,1,2469.28,905.98,1563.3,5839.680075,0.916667,0.583333,0.833333,0.666667,27,33,8000,1226.857482
C12360,15.236618,0.272727,161.5,161.5,0,0,0.166667,0.166667,0,0,0,1,3000,912.737392
C12361,153.003135,1,96.2,0,96.2,0,0.833333,0,0.833333,0,0,10,9000,326.168469
C12362,248.200613,1,2329.12,1567.22,761.9,0,1,0.916667,0.583333,0,0,31,5500,812.097275
C12363,1466.91925,1,0,0,0,37.691257,0,0,0,0.166667,2,0,1500,323.642185
C12364,1777.056105,1,1083.12,0,1083.12,0,1,0,1,0,0,24,4000,383.231247
C12365,475.171266,0.727273,1155.4,1155.4,0,0,0.083333,0.083333,0,0,0,1,2000,1264.974166
C12366,1117.683394,0.909091,45.65,45.65,0,0,0.090909,0.090909,0,0,0,1,1200,287.581425
C12367,6891.424677,1,4399.07,3705.13,693.94,1838.093797,1,1,0.333333,0.25,4,80,11150,1834.501318
C12368,14.68344,0.363636,67.44,67.44,0,0,0.083333,0.083333,0,0,0,1,4000,82.000743
C12369,1475.973063,1,181.63,181.63,0,2252.747969,0.916667,0.916667,0,0.5,17,13,1800,2588.459613
C12370,986.583117,0.727273,0,0,0,1350.155793,0,0,0,0.090909,1,0,1500,276.229102
C12371,955.41412,1,0,0,0,1145.252721,0,0,0,0.25,4,0,1200,1402.659723
C12372,447.808002,1,1593.29,214.2,1379.09,0,1,0.25,0.916667,0,0,36,7000,1660.750541
C12373,3304.423662,1,0,0,0,1270.287892,0,0,0,0.416667,9,0,7000,1026.076088
C12374,1135.629139,1,398.64,0,398.64,0,1,0,1,0,0,12,1500,364.300862
C12375,933.150722,0.727273,0,0,0,1374.764359,0,0,0,0.090909,1,0,1500,360.729411
C12376,1055.369866,0.545455,0,0,0,3776.644822,0,0,0,0.166667,2,0,6000,2924.470714
C12377,5897.491823,1,0,0,0,3318.487381,0,0,0,0.333333,8,0,7500,1417.970244
C12378,0,0,176.03,176.03,0,0,0.125,0.125,0,0,0,1,7000,0
C12381,21.377711,0.636364,312.1,0,312.1,0,0.583333,0,0.583333,0,0,7,2000,497.127166
C12382,4920.036231,1,1562.43,249.24,1313.19,0,1,0.25,1,0,0,42,13000,1851.996908
C12383,4071.792166,1,1721.66,551.17,1170.49,0,1,0.5,1,0,0,27,10000,1065.894938
C12384,1138.534442,1,8665.38,6120.4,2544.98,0,1,1,1,0,0,104,9500,8216.880805
C12385,1158.67621,0.909091,1036.68,150,886.68,1789.779133,0.916667,0.083333,0.833333,0.333333,11,22,1700,2790.066228
C12386,2093.844656,1,0,0,0,1307.898095,0,0,0,0.083333,2,0,3000,470.841807
C12387,299.464702,1,1439.49,593,846.49,0,1,0.166667,1,0,0,31,6000,1323.74446
C12388,21.928045,0.909091,190.45,190.45,0,49.196465,0.166667,0.166667,0,0.083333,1,2,8500,155.609598
C12389,657.223335,0.857143,1151.91,615.85,536.06,442.688396,0.714286,0.285714,0.571429,0.285714,2,13,1000,632.225833
C12390,74.34204,1,724.52,200,524.52,0,1,0.083333,1,0,0,13,4000,529.362717
C12391,2664.700424,1,715.51,109,606.51,494.573662,0.75,0.083333,0.583333,0.083333,1,11,3500,918.003032
C12392,900.482738,1,0,0,0,77.012362,0,0,0,0.083333,1,0,1000,197.631228
C12393,1146.202492,1,0,0,0,58.697369,0,0,0,0.25,3,0,1200,290.331406
C12394,9.72453,0.272727,158.34,0,158.34,0,0.333333,0,0.333333,0,0,4,6000,182.175514
C12395,3037.608728,1,173.48,173.48,0,382.582455,0.166667,0.166667,0,0.166667,6,3,3000,869.253948
C12396,25.184241,0.181818,0,0,0,519.538738,0,0,0,0.083333,5,0,6000,2161.530837
C12397,1100.941072,1,117.32,117.32,0,5573.767921,0.25,0.25,0,0.5,7,3,1500,4017.742718
C12398,64.078171,0.909091,1049,0,1049,0,1,0,1,0,0,14,5000,1072.021707
C12399,1.059425,0.363636,23.91,23.91,0,0,0.333333,0.333333,0,0,0,4,15500,31.845894
C12400,1095.041551,1,1132.36,377.44,754.92,0,1,0.333333,1,0,0,43,2500,410.973222
C12401,234.700486,1,82,82,0,0,0.083333,0.083333,0,0,0,2,4200,350.773984
C12402,7156.345546,1,0,0,0,2506.083985,0,0,0,0.25,6,0,18000,3447.733455
C12403,1435.703308,1,664.61,45.7,618.91,945.736707,0.666667,0.083333,0.5,0.166667,3,15,7500,453.692206
C12404,325.024091,1,2251.62,1964.05,287.57,141.021854,0.916667,0.666667,0.5,0.083333,1,20,9500,2258.1657
C12405,4395.237251,1,2514.3,985.11,1529.19,0,1,0.666667,1,0,0,32,5000,2095.014385
C12406,25.379719,0.571429,179,0,179,0,0.857143,0,0.714286,0,0,6,4000,308.793382
C12407,400.69973,1,3108.01,0,3108.01,0,1,0,1,0,0,16,10500,3166.91554
C12408,3044.269636,1,93.31,93.31,0,789.697144,0.083333,0.083333,0,0.166667,2,1,3500,670.719989
C12409,435.905875,0.454545,2877.09,1561.04,1316.05,204.935422,1,0.333333,1,0.083333,2,51,3500,2975.275558
C12410,5257.807308,1,2331.68,1088.04,1243.64,10291.12574,0.75,0.333333,0.666667,0.583333,10,34,17500,2543.033209
C12411,3860.238072,1,11.41,11.41,0,0,0.166667,0.166667,0,0,0,2,10000,7280.584479
C12412,1514.750841,1,3873.5,2642.14,1231.36,2306.919698,1,1,1,0.416667,6,50,8500,3729.948989
C12413,6509.334652,1,538.51,538.51,0,7232.069823,0.333333,0.333333,0,0.666667,20,4,12000,1355.948713
C12414,3338.863375,1,775,365,410,0,0.583333,0.166667,0.416667,0,0,8,8500,920.748289
C12415,3281.958491,1,398.08,0,398.08,6694.105562,0.416667,0,0.416667,0.583333,20,9,8000,8092.781701
C12416,5932.367808,1,0,0,0,4253.311089,0,0,0,0.5,10,0,6000,2657.196453
C12417,994.367302,0.857143,0,0,0,4058.539188,0,0,0,0.571429,15,0,10000,168.100048
C12418,5925.120611,1,1763.89,258.43,1505.46,0,1,0.25,1,0,0,195,6500,2557.841292
C12419,162.54754,0.909091,405.61,0,405.61,0,0.916667,0,0.916667,0,0,23,2200,612.674738
C12420,1070.486185,1,818.64,0,818.64,0,1,0,1,0,0,24,1000,976.831849
C12421,4059.211725,1,0,0,0,4524.312762,0,0,0,0.25,4,0,5000,3246.575307
C12422,8356.277203,1,983.24,983.24,0,2329.181013,0.166667,0.166667,0,0.333333,7,4,14000,3468.13596
C12423,929.115076,1,611.71,591.71,20,0,0.5,0.5,0.166667,0,0,11,1200,1019.527645
C12424,2159.370933,1,627.23,493.48,133.75,1055.558646,0.75,0.75,0.333333,0.25,3,17,2500,1030.373212
C12425,4523.499003,1,0,0,0,966.297398,0,0,0,0.083333,2,0,9500,1348.018275
C12426,753.703481,1,0,0,0,899.346012,0,0,0,0.083333,2,0,1200,1065.666403
C12427,3778.609797,1,878.29,631.27,247.02,0,0.583333,0.5,0.25,0,0,13,8500,883.744982
C12428,947.457151,1,1787.83,126.24,1661.59,458.961661,1,0.083333,1,0.083333,1,61,4000,574.055852
C12429,606.323282,1,299.9,299.9,0,0,0.25,0.25,0,0,0,3,4200,502.64224
C12430,73.379518,1,875.38,0,875.38,0,1,0,1,0,0,16,6500,688.546903
C12431,516.49276,1,380,380,0,1004.279993,0.333333,0.333333,0,0.5,11,6,1200,415.924157
C12432,906.107168,1,2354.06,215.87,2138.19,0,1,0.333333,1,0,0,51,4000,2230.320729
C12433,2220.063789,1,2530.12,2530.12,0,157.109678,1,1,0,0.083333,3,85,2500,3275.790625
C12434,15532.33972,1,1168.75,0,1168.75,3183.037625,0.916667,0,0.916667,0.25,5,11,16500,3906.738592
C12435,205.123752,1,2066.08,1245.3,820.78,0,1,1,1,0,0,41,7500,2597.718416
C12436,788.257316,1,9113.78,6138.57,2975.21,0,1,1,1,0,0,128,12000,7035.994095
C12437,1073.370435,0.818182,824.77,377.81,446.96,1214.495468,0.666667,0.416667,0.5,0.333333,6,25,1800,534.728641
C12438,1381.753281,1,0,0,0,648.228793,0,0,0,0.083333,1,0,2400,3112.377295
C12439,405.162601,0.545455,0,0,0,4679.312402,0,0,0,0.25,8,0,17000,8946.495566
C12440,372.924756,0.909091,462.7,162.7,300,0,0.5,0.083333,0.416667,0,0,7,1800,1193.383862
C12441,55.681483,1,462.99,0,462.99,0,0.833333,0,0.833333,0,0,12,13500,519.307161
C12442,2092.855291,1,1624.05,1205.75,418.3,0,0.5,0.25,0.333333,0,0,13,8500,3794.796448
C12443,556.912886,1,0,0,0,972.223685,0,0,0,0.083333,1,0,4000,1968.065171
C12444,6.121105,0.571429,233.9,233.9,0,0,0.428571,0.428571,0,0,0,5,10500,33.010201
C12445,19.112841,1,504.2,0,504.2,0,1,0,1,0,0,20,1000,476.370018
C12446,7803.470739,1,7184.73,6519.19,665.54,0,1,0.583333,0.916667,0,0,78,11500,2250.502094
C12447,5274.508501,1,324.96,0,324.96,1392.925291,1,0,1,0.25,5,12,5500,938.073283
C12448,1887.061349,1,0,0,0,93.437109,0,0,0,0.166667,3,0,2000,411.517239
C12449,152.227891,1,946,536,410,0,0.75,0.25,0.416667,0,0,18,6500,804.255916
C12450,1193.351573,0.875,0,0,0,1433.85482,0,0,0,0.125,4,0,1500,164.003621
C12451,2544.036536,1,0,0,0,107.710567,0,0,0,0.083333,1,0,7000,1064.575065
C12452,63.064197,1,1176.93,0,1176.93,0,1,0,1,0,0,23,7500,1319.009967
C12453,3.29042,0.181818,225.6,0,225.6,0,1,0,1,0,0,12,4000,268.500244
C12454,182.959331,1,847.88,0,847.88,0,0.666667,0,0.666667,0,0,11,5000,757.48839
C12455,5082.971064,1,1893.89,1543.89,350,970.708796,1,1,0.416667,0.083333,1,27,9500,1607.021526
C12456,2817.403474,1,1878.54,1198.89,679.65,1154.965664,0.5,0.333333,0.333333,0.416667,8,14,3500,3185.017063
C12457,320.35306,1,2542.61,696.08,1846.53,0,1,0.583333,1,0,0,27,7500,3158.530331
C12458,2801.239086,0.909091,0,0,0,7216.489768,0,0,0,0.583333,9,0,10000,696.538922
C12459,126.289657,0.909091,366.68,0,366.68,175.284005,0.333333,0,0.333333,0.166667,2,4,3000,679.431948
C12460,7985.621826,1,123.24,123.24,0,7949.596045,0.166667,0.166667,0,0.666667,32,2,14500,9438.180272
C12461,1084.131331,1,803.22,0,803.22,901.628291,1,0,0.916667,0.166667,3,21,1000,866.009167
C12462,5520.201751,1,0,0,0,6218.171457,0,0,0,0.666667,23,0,7000,5878.42845
C12463,109.594389,1,177,177,0,0,0.083333,0.083333,0,0,0,1,1950,170.47103
C12464,2416.771489,1,4201.13,3802.21,398.92,3306.574157,1,0.75,1,0.166667,11,82,5500,6091.906636
C12465,5701.848812,1,1126.68,1033.6,93.08,1831.160025,0.833333,0.416667,0.666667,0.333333,5,20,7000,1382.179262
C12466,2866.054641,1,0,0,0,236.955668,0,0,0,0.25,4,0,3000,714.738754
C12467,1352.301367,1,263.04,263.04,0,1460.777849,0.083333,0.083333,0,0.166667,3,1,2300,4228.186416
C12468,495.069704,1,2610.3,902.6,1707.7,0,1,0.416667,1,0,0,34,8500,2217.869091
C12469,1299.93337,1,0,0,0,916.37094,0,0,0,0.083333,2,0,2400,303.052882
C12470,3020.900667,1,0,0,0,3417.227455,0,0,0,0.666667,9,0,4000,1171.807751
C12471,608.752081,1,5446.88,3466.22,1980.66,0,0.916667,0.25,0.916667,0,0,45,9500,5623.305898
C12472,4587.892398,1,140.6,140.6,0,953.934018,0.083333,0.083333,0,0.25,3,2,5500,1151.202909
C12473,4005.344926,1,9134.26,2002.9,7131.36,0,1,0.25,1,0,0,65,10500,3579.298838
C12474,534.75165,0.545455,3044.6,3044.6,0,684.269093,0.166667,0.166667,0,0.083333,1,2,3000,8987.534163
C12475,34.387537,1,153.18,61.9,91.28,0,0.416667,0.083333,0.416667,0,0,11,2500,99.085409
C12476,11964.83264,1,1175.35,1031.85,143.5,2271.555171,0.75,0.583333,0.416667,0.583333,11,19,14000,2949.673416
C12477,1553.505165,1,522,0,522,0,1,0,1,0,0,14,1000,472.580919
C12478,10.106017,0.727273,1160.66,34.9,1125.76,0,1,0.083333,0.916667,0,0,37,1500,1152.518504
C12479,397.003171,1,3042.08,1419.07,1623.01,0,1,1,1,0,0,98,8500,2764.893686
C12480,611.561026,1,765,765,0,0,0.125,0.125,0,0,0,1,2000,204.464151
C12481,4840.545574,1,1595.93,1595.93,0,4359.32575,0.454545,0.454545,0,0.545455,17,25,6000,905.844846
C12482,0,0,313.89,0,313.89,0,0.916667,0,0.916667,0,0,19,6000,0
